SampleID,path,Label,Set,tissue,assay_type
EE86093,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86093.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86094,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86094.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86095,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86095.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86096,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86096.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86097,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86097.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86098,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86098.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86099,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86099.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86100,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86100.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86101,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86101.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86102,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86102.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86103,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86103.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86104,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86104.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86105,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86105.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86106,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86106.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86107,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86107.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86108,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86108.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WXS
EE86109,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86109.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WXS
EE86110,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86110.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WXS
EE86111,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86111.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WXS
EE86112,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86112.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86113,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86113.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86114,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86114.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86115,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86115.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86116,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86116.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86117,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86117.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
