SampleID,path,Label,Set,tissue,assay_type,newpath
EE86055,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86055.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86055.hg19.frag.tsv
EE86056,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86056.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86056.hg19.frag.tsv
EE86057,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86057.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86057.hg19.frag.tsv
EE86058,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86058.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86058.hg19.frag.tsv
EE86059,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86059.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86059.hg19.frag.tsv
EE86060,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86060.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86060.hg19.frag.tsv
EE86061,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86061.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86061.hg19.frag.tsv
EE86062,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86062.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86062.hg19.frag.tsv
EE86063,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86063.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86063.hg19.frag.tsv
EE86064,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86064.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86064.hg19.frag.tsv
